MobilePhoneList [2009-12-01 00:00:03] By http://ke-tai.org/
"連番","メーカ名","機種名","機種略名","ユーザエージェント","タイプ１","タイプ２","ブラウザ幅(x)","ブラウザ高さ(y)","表示カラー数","ブラウザキャッシュ","GIF","JPG","PNG","Flash","Flashバージョン","Flashワークメモリ","Javaアプリ","BREW","HTML","SSL","ログイン","クッキー","CSS","GPS","発売日","備考","更新状況メモ","更新日"
"1","DoCoMo","D501i","D501i","DoCoMo/1.0/D501i","mova","1.0","96","72","2","5","1","0","0","0","","","0","0","1","0","0","0","0","0","1999-03","","","2009-11-26 17:38:38"
"2","DoCoMo","F501i","F501i","DoCoMo/1.0/F501i","mova","1.0","112","84","2","5","1","0","0","0","","","0","0","1","0","0","0","0","0","1999-02","","","2007-12-24 13:23:00"
"3","DoCoMo","N501i","N501i","DoCoMo/1.0/N501i","mova","1.0","118","128","2","5","1","0","0","0","","","0","0","1","0","0","0","0","0","1999-03","","","2007-12-24 13:24:03"
"4","DoCoMo","P501i","P501i","DoCoMo/1.0/P501i","mova","1.0","96","120","2","5","1","0","0","0","","","0","0","1","0","0","0","0","0","1999-05","","","2007-12-24 14:08:30"
"5","DoCoMo","D502i","D502i","DoCoMo/1.0/D502i","mova","2.0","96","90","256","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-01","","","2007-12-24 14:12:20"
"6","DoCoMo","F502i","F502i","DoCoMo/1.0/F502i","mova","2.0","96","91","256","5","1","0","0","0","","","0","0","1","0","0","0","0","0","1999-11","","","2008-12-07 03:59:59"
"7","DoCoMo","N502i","N502i","DoCoMo/1.0/N502i","mova","2.0","118","128","4","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-02","","","2009-05-12 22:04:08"
"8","DoCoMo","P502i","P502i","DoCoMo/1.0/P502i","mova","2.0","96","117","4","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-02","","","2009-08-28 15:50:00"
"9","DoCoMo","NM502i","NM502i","DoCoMo/1.0/NM502i","mova","2.0","111","106","2","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-04","","","2007-12-28 18:45:31"
"10","DoCoMo","SO502i","SO502i","DoCoMo/1.0/SO502i","mova","2.0","120","120","4","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-05","","","2009-07-06 17:46:33"
"11","DoCoMo","F502it","F502it","DoCoMo/1.0/F502it","mova","2.0","96","91","256","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-05","","","2008-01-17 18:21:30"
"12","DoCoMo","N502it","N502it","DoCoMo/1.0/N502it","mova","2.0","118","128","256","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-08","","","2008-05-13 15:01:17"
"13","DoCoMo","SO502iWM","SO502iWM","DoCoMo/1.0/SO502iWM","mova","2.0","120","113","256","10","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-12","","","2007-12-28 19:15:04"
"14","DoCoMo","SH821i","SH821i","DoCoMo/1.0/SH821i","mova","2.0","96","78","256","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-05","","","2008-01-17 18:21:30"
"15","DoCoMo","N821i","N821i","DoCoMo/1.0/N821i","mova","2.0","118","128","4","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-07","","","2009-07-08 19:23:19"
"16","DoCoMo","P821i","P821i","DoCoMo/1.0/P821i","mova","2.0","118","128","4","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-08","","","2009-08-01 23:41:16"
"17","DoCoMo","D209i","D209i","DoCoMo/1.0/D209i","mova","2.0","96","90","256","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-07","","","2008-01-04 10:42:23"
"18","DoCoMo","ER209i","ER209i","DoCoMo/1.0/ER209i","mova","2.0","120","72","2","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-12","","","2008-01-04 10:46:16"
"19","DoCoMo","F209i","F209i","DoCoMo/1.0/F209i","mova","2.0","96","91","256","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-06","","","2008-01-17 16:26:41"
"20","DoCoMo","KO209i","KO209i","DoCoMo/1.0/KO209i","mova","2.0","96","96","256","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2001-02","","","2008-01-17 18:21:30"
"21","DoCoMo","N209i","N209i","DoCoMo/1.0/N209i","mova","2.0","108","82","4","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-06","","","2008-01-04 10:48:17"
"22","DoCoMo","P209i","P209i","DoCoMo/1.0/P209i","mova","2.0","96","87","4","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-06","","","2008-01-04 10:49:15"
"23","DoCoMo","P209iS","P209iS","DoCoMo/1.0/P209is","mova","2.0","96","87","256","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-08","","","2009-04-05 10:35:42"
"24","DoCoMo","R209i","R209i","DoCoMo/1.0/R209i","mova","2.0","96","72","4","5","1","0","0","0","","","0","0","1","0","0","0","0","0","2000-10","","","2008-01-04 10:51:06"
